iter	RMSE
0	1.293845065
1	1.287483571
2	1.281434145
3	1.273468765
4	1.269265306
5	1.264490215
6	1.259838532
7	1.254724507
8	1.249210506
9	1.243056409
10	1.240115871
11	1.233953578
12	1.227893219
13	1.221794442
14	1.216584811
15	1.210085735
16	1.205037755
17	1.199244294
18	1.193570483
19	1.187526392
20	1.182880184
21	1.176938169
22	1.171998877
23	1.167777389
24	1.163725028
25	1.159300511
26	1.154940251
27	1.150874432
28	1.146468816
29	1.143194545
30	1.139476213
31	1.134505615
32	1.130683576
33	1.125989873
34	1.12073891
35	1.117065056
36	1.113124287
37	1.109072462
38	1.105860872
39	1.100994285
40	1.097111593
41	1.094892519
42	1.09199642
43	1.087303278
44	1.084264614
45	1.07998571
46	1.075509281
47	1.072648404
48	1.067800011
49	1.063987499
50	1.059493278
51	1.054958639
52	1.052627523
53	1.047821096
54	1.045264544
55	1.040812913
56	1.037183763
57	1.034055949
58	1.029222199
59	1.027782457
60	1.024930548
61	1.021749696
62	1.018306085
63	1.016020825
64	1.014204135
65	1.012759476
66	1.009780702
67	1.006853509
68	1.00494388
69	1.001575047
70	0.9993519576
71	0.9959497227
72	0.9928976711
73	0.9900904734
74	0.9885296222
75	0.9856884173
76	0.9847964462
77	0.9818872469
78	0.9783408353
79	0.9757254525
80	0.9733397962
81	0.9707107822
82	0.9684538696
83	0.9640466663
84	0.9611175439
85	0.959389133
86	0.9561364584
87	0.9520748763
88	0.949410381
89	0.9472294617
90	0.9443909161
91	0.9416695251
92	0.9390509477
93	0.9355874814
94	0.9336290891
95	0.9312606089
96	0.928726732
97	0.9251901971
98	0.9227658821
99	0.9207323398
100	0.9188409324
101	0.9161212714
102	0.9135166887
103	0.9113146064
104	0.9076209621
105	0.9041711939
106	0.9029193406
107	0.9006485184
108	0.8977189009
109	0.8953981718
110	0.8929258369
111	0.890611303
112	0.8881800012
113	0.8868963657
114	0.8849835749
115	0.8823099001
116	0.8797486045
117	0.8778040446
118	0.8752979941
119	0.8727793183
120	0.8707691235
121	0.8675026698
122	0.8661069922
123	0.8644921907
124	0.861809223
125	0.8598329598
126	0.8570804224
127	0.8552329355
128	0.8528185833
129	0.8511913792
130	0.8496789197
131	0.848117349
132	0.8468398018
133	0.8437950303
134	0.841291985
135	0.8391812822
136	0.8375751077
137	0.8352855787
138	0.8339812375
139	0.8313871554
140	0.827282077
141	0.8255533936
142	0.8234447988
143	0.8199033753
144	0.8178384434
145	0.8138053216
146	0.8116952993
147	0.8093364963
148	0.8078942386
149	0.8052486928
150	0.8026487686
151	0.8009265129
152	0.7993240258
153	0.7980400321
154	0.7955715457
155	0.793467712
156	0.7911849348
157	0.7884382561
158	0.7874182049
159	0.7861065268
160	0.7850211968
161	0.7825301255
162	0.7807055194
163	0.7788472864
164	0.7772728027
165	0.7752732706
166	0.7728239043
167	0.7703925012
168	0.7685337877
169	0.7663401711
170	0.7649391225
171	0.7634273315
172	0.7616138204
173	0.7605826657
174	0.759343425
175	0.7585205728
176	0.7564847139
177	0.7546903875
178	0.7535103773
179	0.7518050966
180	0.7505807262
181	0.7491509961
182	0.7482369874
183	0.7469934621
184	0.7454165786
185	0.7430373434
186	0.7400326787
187	0.7371639245
188	0.7355550374
189	0.7348322058
190	0.7338219103
191	0.7323671843
192	0.7305397545
193	0.7296105823
194	0.7282899045
195	0.7255582427
196	0.7239457041
197	0.7227913722
198	0.7214371779
199	0.7206067885
200	0.7181755913
201	0.7164643625
202	0.7153415743
203	0.7146965217
204	0.7134775774
205	0.7115413214
206	0.7099707057
207	0.7093698408
208	0.7066095453
209	0.7055605015
210	0.7051382919
211	0.7034393407
212	0.7010366433
213	0.7000320876
214	0.6992794193
