iter	Passed	Remaining
0	18	18437
1	20	10364
2	23	7903
3	26	6524
4	29	5840
5	32	5304
6	35	5000
7	38	4761
8	42	4677
9	45	4468
10	48	4353
11	50	4198
12	53	4049
13	56	3977
14	59	3878
15	62	3824
16	64	3718
17	66	3631
18	69	3582
19	71	3517
20	74	3472
21	77	3437
22	79	3383
23	82	3369
24	85	3327
25	88	3302
26	90	3253
27	92	3206
28	95	3185
29	97	3149
30	99	3116
31	102	3092
32	104	3073
33	107	3056
34	110	3035
35	112	3015
36	115	3015
37	119	3031
38	122	3014
39	125	3008
40	128	3014
41	131	3006
42	135	3015
43	138	3002
44	141	3000
45	144	2989
46	147	2983
47	149	2972
48	153	2969
49	155	2955
50	157	2938
51	160	2932
52	163	2921
53	166	2912
54	169	2904
55	171	2886
56	174	2879
57	176	2874
58	180	2879
59	182	2865
60	185	2855
61	188	2848
62	190	2835
63	193	2828
64	195	2817
65	198	2808
66	200	2797
67	202	2782
68	205	2772
69	207	2762
70	210	2754
71	213	2754
72	216	2748
73	219	2742
74	221	2730
75	223	2720
76	226	2714
77	228	2699
78	231	2694
79	233	2688
80	236	2684
81	240	2688
82	243	2686
83	246	2689
84	249	2688
85	253	2693
86	256	2686
87	258	2683
88	261	2679
89	264	2679
90	267	2672
91	270	2667
92	272	2658
93	274	2648
94	277	2642
95	280	2636
96	282	2631
97	285	2625
98	287	2616
99	289	2609
100	292	2603
101	294	2596
102	297	2594
103	300	2587
104	303	2583
105	305	2577
106	308	2573
107	311	2575
108	315	2577
109	318	2573
110	320	2564
111	322	2557
112	325	2552
113	327	2546
114	331	2547
115	333	2541
116	336	2536
117	338	2529
118	340	2523
119	343	2519
120	345	2513
121	348	2509
122	351	2503
123	353	2497
124	356	2495
125	358	2490
126	361	2486
127	364	2479
128	366	2472
129	368	2466
130	370	2460
131	373	2454
132	375	2451
133	378	2446
134	380	2439
135	383	2433
136	385	2427
137	387	2423
138	390	2419
139	393	2414
140	396	2414
141	398	2410
142	401	2405
143	403	2401
144	406	2397
145	409	2395
146	412	2391
147	415	2393
148	418	2388
149	420	2384
150	423	2380
151	425	2376
152	429	2375
153	431	2371
154	434	2367
155	436	2363
156	439	2360
157	442	2357
158	444	2352
159	448	2352
160	451	2350
161	454	2349
162	456	2346
163	459	2343
164	462	2341
165	465	2336
166	468	2335
167	470	2330
168	473	2328
169	475	2323
170	478	2317
171	480	2315
172	483	2310
173	486	2307
174	488	2303
175	490	2298
176	493	2296
177	496	2291
178	498	2287
179	501	2283
180	503	2279
181	506	2275
182	508	2271
183	511	2266
184	513	2263
185	516	2258
186	518	2253
187	520	2250
188	523	2245
189	526	2243
190	528	2238
191	530	2232
192	533	2229
193	535	2224
194	537	2220
195	540	2217
196	543	2213
197	546	2211
198	548	2208
199	550	2203
200	553	2199
201	555	2195
202	558	2194
203	561	2191
204	564	2188
205	566	2183
206	568	2178
207	571	2176
208	574	2172
209	576	2169
210	579	2165
211	581	2161
212	584	2158
213	586	2155
214	588	2149
215	591	2147
216	593	2142
217	596	2138
218	598	2135
219	601	2131
220	604	2129
221	606	2124
222	608	2119
223	611	2116
224	613	2113
225	616	2110
226	618	2107
227	621	2103
228	624	2102
229	627	2099
230	629	2096
231	632	2092
232	634	2087
233	637	2086
234	639	2083
235	642	2079
236	644	2076
237	647	2071
238	650	2069
239	652	2065
240	654	2061
241	657	2058
242	659	2055
243	662	2051
244	664	2047
245	666	2043
246	669	2039
247	671	2035
248	673	2031
249	675	2027
250	678	2023
251	680	2019
252	683	2016
253	685	2013
254	687	2009
255	689	2005
256	692	2001
257	695	1999
258	697	1996
259	700	1992
260	702	1989
261	704	1985
262	707	1982
263	710	1979
264	712	1975
265	715	1973
266	717	1969
267	719	1965
268	722	1963
269	724	1959
270	727	1956
271	729	1952
272	731	1948
273	734	1945
274	736	1941
275	738	1937
276	741	1935
277	743	1931
278	745	1927
279	748	1923
280	750	1920
281	752	1916
282	754	1911
283	757	1908
284	759	1905
285	762	1902
286	764	1898
287	766	1896
288	769	1892
289	771	1889
290	774	1885
291	776	1882
292	778	1879
293	781	1876
294	783	1873
295	787	1872
296	789	1869
297	792	1866
298	794	1863
299	796	1859
300	799	1856
301	801	1852
302	804	1849
303	806	1847
304	808	1842
305	811	1839
306	813	1836
307	815	1832
308	818	1829
309	820	1826
310	823	1823
311	826	1821
312	828	1818
313	831	1815
314	833	1812
315	835	1809
316	838	1807
317	841	1804
318	846	1806
319	848	1802
320	850	1800
321	853	1796
322	855	1792
323	857	1789
324	860	1787
325	863	1785
326	866	1783
327	869	1781
328	872	1778
329	874	1775
330	876	1772
331	879	1770
332	882	1767
333	884	1763
334	886	1759
335	888	1756
336	891	1753
337	893	1749
338	895	1745
339	897	1742
340	899	1739
341	902	1735
342	904	1732
343	906	1728
344	908	1725
345	911	1722
346	913	1719
347	916	1716
348	918	1712
349	920	1709
350	922	1706
351	924	1702
352	926	1699
353	929	1696
354	932	1693
355	934	1691
356	936	1687
357	939	1683
358	941	1681
359	943	1677
360	945	1674
361	948	1671
362	950	1668
363	952	1664
364	955	1662
365	957	1658
366	960	1655
367	962	1653
368	965	1650
369	967	1647
370	970	1644
371	972	1641
372	975	1640
373	978	1637
374	981	1635
375	983	1631
376	986	1629
377	988	1626
378	990	1623
379	992	1619
380	995	1617
381	997	1613
382	999	1610
383	1002	1607
384	1004	1604
385	1007	1602
386	1009	1599
387	1012	1596
388	1014	1593
389	1016	1590
390	1019	1587
391	1021	1584
392	1024	1581
393	1027	1579
394	1029	1576
395	1031	1573
396	1034	1571
397	1036	1568
398	1039	1565
399	1041	1562
400	1043	1559
401	1046	1557
402	1049	1553
403	1051	1551
404	1053	1548
405	1055	1544
406	1058	1541
407	1061	1539
408	1063	1536
409	1066	1534
410	1069	1532
411	1072	1530
412	1075	1527
413	1077	1525
414	1080	1522
415	1082	1519
416	1085	1517
417	1087	1514
418	1089	1511
419	1092	1508
420	1095	1506
421	1098	1504
422	1101	1502
423	1104	1500
424	1107	1498
425	1110	1496
426	1113	1493
427	1116	1491
428	1119	1490
429	1122	1487
430	1125	1485
431	1128	1483
432	1131	1482
433	1135	1480
434	1138	1479
435	1141	1476
436	1144	1474
437	1147	1471
438	1150	1470
439	1153	1468
440	1157	1466
441	1159	1464
442	1163	1462
443	1166	1460
444	1169	1458
445	1172	1456
446	1175	1454
447	1178	1452
448	1181	1449
449	1183	1446
450	1185	1443
451	1188	1440
452	1190	1437
453	1193	1434
454	1196	1432
455	1198	1430
456	1201	1427
457	1204	1424
458	1206	1421
459	1209	1419
460	1211	1416
461	1214	1414
462	1217	1412
463	1219	1409
464	1222	1406
465	1224	1403
466	1228	1401
467	1230	1399
468	1233	1396
469	1235	1393
470	1237	1390
471	1240	1387
472	1243	1385
473	1246	1383
474	1249	1380
475	1252	1378
476	1255	1376
477	1258	1374
478	1262	1372
479	1265	1370
480	1267	1368
481	1270	1365
482	1273	1362
483	1275	1360
484	1277	1356
485	1281	1355
486	1283	1352
487	1287	1351
488	1291	1349
489	1295	1348
490	1299	1346
491	1302	1345
492	1306	1343
493	1314	1346
494	1347	1374
495	1354	1376
496	1359	1376
497	1365	1376
498	1374	1379
499	1379	1379
500	1384	1379
501	1388	1377
502	1391	1375
503	1395	1373
504	1397	1370
505	1401	1368
506	1406	1367
507	1410	1366
508	1415	1365
509	1419	1363
510	1421	1360
511	1425	1358
512	1428	1356
513	1432	1354
514	1435	1351
515	1437	1348
516	1440	1346
517	1443	1343
518	1446	1340
519	1449	1337
520	1451	1334
521	1454	1331
522	1456	1328
523	1460	1326
524	1462	1323
525	1465	1320
526	1467	1317
527	1470	1314
528	1473	1311
529	1475	1308
530	1478	1305
531	1481	1302
532	1483	1299
533	1486	1297
534	1488	1293
535	1491	1291
536	1493	1288
537	1496	1284
538	1498	1282
539	1501	1278
540	1503	1275
541	1506	1272
542	1508	1269
543	1511	1267
544	1514	1264
545	1517	1261
546	1519	1258
547	1521	1255
548	1524	1252
549	1527	1249
550	1529	1246
551	1532	1243
552	1535	1240
553	1538	1238
554	1540	1235
555	1543	1232
556	1546	1229
557	1549	1226
558	1552	1224
559	1554	1221
560	1557	1218
561	1560	1215
562	1562	1212
563	1565	1210
564	1568	1207
565	1571	1204
566	1573	1201
567	1576	1199
568	1579	1196
569	1582	1193
570	1585	1191
571	1587	1188
572	1590	1185
573	1592	1182
574	1595	1179
575	1598	1176
576	1601	1174
577	1604	1171
578	1606	1168
579	1609	1165
580	1612	1162
581	1614	1159
582	1617	1156
583	1620	1154
584	1622	1151
585	1625	1148
586	1628	1145
587	1631	1143
588	1634	1140
589	1637	1137
590	1640	1135
591	1642	1132
592	1645	1129
593	1648	1126
594	1651	1123
595	1654	1121
596	1656	1118
597	1659	1115
598	1661	1112
599	1663	1109
600	1666	1106
601	1669	1103
602	1672	1101
603	1675	1098
604	1678	1095
605	1681	1092
606	1683	1089
607	1685	1087
608	1688	1084
609	1690	1080
610	1693	1078
611	1696	1075
612	1698	1072
613	1701	1069
614	1703	1066
615	1705	1063
616	1708	1060
617	1710	1057
618	1713	1054
619	1715	1051
620	1717	1048
621	1719	1045
622	1721	1042
623	1724	1039
624	1726	1035
625	1728	1032
626	1730	1029
627	1733	1026
628	1735	1023
629	1738	1020
630	1740	1017
631	1742	1014
632	1744	1011
633	1747	1008
634	1749	1005
635	1751	1002
636	1753	999
637	1755	996
638	1758	993
639	1760	990
640	1763	987
641	1765	984
642	1768	981
643	1770	978
644	1772	975
645	1774	972
646	1777	969
647	1779	966
648	1782	963
649	1792	964
650	1793	961
651	1795	958
652	1798	955
653	1800	952
654	1802	949
655	1805	946
656	1807	943
657	1809	940
658	1812	937
659	1814	934
660	1817	931
661	1819	928
662	1821	925
663	1824	922
664	1826	919
665	1828	916
666	1830	914
667	1833	911
668	1835	908
669	1837	905
670	1840	902
671	1842	899
672	1845	896
673	1847	893
674	1849	890
675	1852	887
676	1854	884
677	1857	882
678	1859	879
679	1862	876
680	1864	873
681	1866	870
682	1869	867
683	1871	864
684	1873	861
685	1876	858
686	1878	855
687	1880	852
688	1882	849
689	1885	846
690	1887	844
691	1889	840
692	1891	838
693	1894	835
694	1897	832
695	1900	829
696	1902	827
697	1905	824
698	1908	821
699	1910	818
700	1912	815
701	1915	813
702	1918	810
703	1921	808
704	1924	805
705	1927	802
